🇨🇳 4K & 8K频道,#genre#
CCTV14,http://118.79.139.119:6002/rtp/226.0.1.170:3094
CCTV14,http://183.188.229.144:6000/rtp/226.0.1.170:3094
CCTV14,http://171.119.207.218:6001/rtp/226.0.1.170:3094
CCTV14,http://61.134.200.65:8083/rtp/226.0.1.170:3094
CCTV14,http://221.205.60.71:8083/rtp/226.0.1.170:3094
CCTV14,http://183.184.60.128:8084/rtp/226.0.1.170:3094
CCTV14,http://60.220.167.28:8084/rtp/226.0.1.170:3094
CCTV14,http://183.185.220.60:8082/rtp/226.0.1.170:3094
CCTV14,http://221.205.60.71:8082/rtp/226.0.1.170:3094
CCTV14,http://60.223.72.30:8002/rtp/226.0.1.170:3094
CCTV14,http://171.117.73.99:8083/rtp/226.0.1.170:3094
CCTV16,http://106.59.3.147:55555/rtp/239.200.200.193:8776
CCTV16,http://enlen.vip:4022/rtp/239.200.200.193:8776
CCTV16,http://139.170.104.119:8000/rtp/239.120.1.252:9554
CCTV16,http://139.170.104.119:8000/rtp/239.120.2.105:5141
CCTV16,http://117.27.190.42:9998/tsfile/live/23249_1.m3u8?key=txiptv&playlive=1&authid=0
