电信,#genre#
CCTV08,rtp://238.125.7.80:5140
阿克苏TV-1HD,rtp://238.125.7.84:5140
阿克苏TV-2HD,rtp://238.125.7.85:5140
阿克苏TV-3HD,rtp://238.125.7.86:5140
阿拉尔-1,rtp://238.125.7.88:5140
内蒙古蒙语,rtp://238.125.7.93:5140
西藏藏语,rtp://238.125.7.94:5140
云南卫视,rtp://238.125.0.134:5140
陕西卫视,rtp://238.125.0.135:5140
河北卫视,rtp://238.125.0.136:5140
CCTV09,rtp://238.125.0.139:5140
聚鲨环球精选,rtp://238.125.0.143:5140
党员远程教育 HD,rtp://238.125.0.144:5140
昌吉综合,rtp://238.125.0.145:5140
伊犁01 HD,rtp://238.125.0.147:5140
伊犁02 HD（哈语）,rtp://238.125.0.148:5140
伊犁03 HD（维语）,rtp://238.125.0.149:5140
伊犁04 HD,rtp://238.125.0.150:5140
好享购物,rtp://238.125.0.152:5140
农林卫视,rtp://238.125.0.154:5140
山东教育卫视,rtp://238.125.0.156:5140
2.5M-纪实频道,rtp://238.125.0.157:5140
嘉佳卡通,rtp://238.125.0.158:5140
优漫卡通,rtp://238.125.0.159:5140
第一财经,rtp://238.125.0.165:5140
2.5M-娱乐频道,rtp://238.125.0.183:5140
优购物,rtp://238.125.0.184:5140
察布查尔-1,rtp://238.125.0.189:5140
巩留1 HD,rtp://238.125.0.194:5140
巩留3 HD（哈语）,rtp://238.125.0.195:5140
乌鲁木齐1,rtp://238.125.0.200:5140
乌鲁木齐3,rtp://238.125.0.203:5140
XJTV09,rtp://238.125.0.204:5140
XJTV04,rtp://238.125.0.205:5140
乌鲁木齐6,rtp://238.125.0.207:5140
XJTV05,rtp://238.125.0.210:5140
XJTV02,rtp://238.125.0.211:5140
XJTV03,rtp://238.125.0.212:5140
XJTV08,rtp://238.125.0.213:5140
乌鲁木齐2,rtp://238.125.0.216:5140
乌鲁木齐4,rtp://238.125.0.217:5140
XJTV12,rtp://238.125.0.219:5140
XJTV11,rtp://238.125.0.222:5140
XJTV10,rtp://238.125.0.223:5140
XJTV07,rtp://238.125.0.224:5140
XJTV06,rtp://238.125.0.225:5140
卡酷少儿,rtp://238.125.0.226:5140
CMMB1,rtp://238.125.0.227:5140
轮播,rtp://238.125.0.228:5140
CMMB5,rtp://238.125.0.229:5140
CMMB7,rtp://238.125.0.231:5140
CMMB6,rtp://238.125.0.232:5140
克州1 HD,rtp://238.125.0.240:5140
克州3 HD（维语）,rtp://238.125.0.241:5140
克州2 HD（克尔克孜语）,rtp://238.125.0.242:5140
阿图什1,rtp://238.125.0.243:5140
阿图什2,rtp://238.125.0.244:5140
克拉玛依-1,rtp://238.125.0.247:5140
克拉玛依-2（汉维双语）,rtp://238.125.0.248:5140
克拉玛依-3,rtp://238.125.0.249:5140
克拉玛依-4,rtp://238.125.0.250:5140
克拉玛依-5,rtp://238.125.0.251:5140
莎车-1,rtp://238.125.0.252:5140
莎车-2,rtp://238.125.0.253:5140
三沙高清,rtp://238.125.2.139:5140
若羌电视台-1,rtp://238.125.2.140:5140
CETV-4 HD,rtp://238.125.2.141:5140
魅力足球HD,rtp://238.125.2.142:5140
天翼4K,rtp://238.125.2.143:5140
天翼4K,rtp://238.125.2.144:5140
百视通,rtp://238.125.2.145:5140
东方购物3越剧HD,rtp://238.125.2.146:5140
东方财经HD,rtp://238.125.2.147:5140
百视通4K测试,rtp://238.125.2.148:5140
百视通4K测试,rtp://238.125.2.149:5140
AVS1（放不出来）,rtp://238.125.2.154:5140
2160_50p_HEVC_SDR_BT.709,rtp://238.125.2.155:5140
2160_50p_HEVC_5.1_HLG_BT.2020,rtp://238.125.2.156:5140
2160_50p_HEVC_2.0_HLG_BT.2020,rtp://238.125.2.157:5140
可克达拉 HD,rtp://238.125.2.158:5140
欢笑剧场4K,rtp://238.125.2.159:5140
农7师,rtp://238.125.2.160:5140
青河-2 HD,rtp://238.125.2.161:5140
青河-1 HD,rtp://238.125.2.162:5140
布尔津县02 HD,rtp://238.125.2.163:5140
布尔津县01 HD,rtp://238.125.2.164:5140
陕西高清,rtp://238.125.2.165:5140
福海2 HD,rtp://238.125.2.166:5140
福海1 HD,rtp://238.125.2.167:5140
CCTV-16 4K,rtp://238.125.2.168:5140
车迷频道,rtp://238.125.2.169:5140
证券服务,rtp://238.125.2.170:5140
四海钓鱼,rtp://238.125.2.172:5140
百姓健康频道,rtp://238.125.2.173:5140
天下收藏,rtp://238.125.2.174:5140
生态环境,rtp://238.125.2.175:5140
环球旅游,rtp://238.125.2.176:5140
优优宝贝,rtp://238.125.2.177:5140
中华特产,rtp://238.125.2.178:5140
哈密巴里坤2 HD,rtp://238.125.2.179:5140
哈密巴里坤1 HD,rtp://238.125.2.180:5140
洛浦2 HD,rtp://238.125.2.181:5140
